ac|en|fi|pt|ru|zh|ja|ko|de
armors_leather_muscle_breastplate|Leather Muscle Breastplate|Nahkainen lihasrintalautanen|Placa de Couro Músculo Mamário|Leather Muscle Breastplate|皮革肌肉胸甲|レザーマッスルブレストプレート|Leather Muscle Breastplate|Leder-Muskel-Brustplatte
armors_tundra_hunters_long_coat|Tundra Hunter's Long Coat|Tundrametsästäjän pitkä takki|Tundra Hunter's Long Coat|Tundra Hunter's Long Coat|苔原猎人的长外套|ツンドラハンターのロングコート|Tundra Hunter's Long Coat|Langer Mantel des Tundra-Jägers
armors_arcana_robes_of_authority|Arcane Robes of Authority|Arkaninen auktoriteetin kaapu|Túnicas de Autoridade Arcana|Arcane Robes of Authority|权力的奥秘之袍|権威あるアルカンのローブ|Arcane Robes of Authority|Arkane Gewänder der Autorität
armors_thunder_guardians_plate|Thunder Guardian's Plate|Thunder Guardianin lautanen|Placa Thunder Guardian's|Thunder Guardian's Plate|雷霆守护者之盘|サンダーガーディアンのプレート|Thunder Guardian's Plate|Teller des Donnerwächters
armors_tactical_flak_jacket|Tactical Flak Jacket|Taktinen Flak-takki|Jaqueta Flak Tática|Tactical Flak Jacket|战术高射炮夹克|タクティカルフラックジャケット|Tactical Flak Jacket|Taktische Flak-Jacke
armors_unearthed_esoteric_panoply|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply
armors_sheep_kings_hide|Sheep King’s Hide|Sheep King’s Hide|Sheep King’s Hide|Sheep King’s Hide|Sheep King’s Hide|Sheep King’s Hide|Sheep King’s Hide|Sheep King’s Hide
armors_clan_leaders_pride|Clan Leader's Pride|Clan Leader's Pride|Clan Leader's Pride|Clan Leader's Pride|Clan Leader's Pride|Clan Leader's Pride|Clan Leader's Pride|Clan Leader's Pride
armors_elementalists_silk_shroud|Elementalist's Silk Shroud|Elementalist's Enchanted Shroud|Elementalist's Enchanted Shroud|Elementalist's Enchanted Shroud|Elementalist's Enchanted Shroud|Elementalist's Enchanted Shroud|Elementalist's Enchanted Shroud|Elementalist's Enchanted Shroud
armors_bandit_lords_shroud|Bandit Lord's Shroud|Bandit Lord's Shroud|Bandit Lord's Shroud|Bandit Lord's Shroud|Bandit Lord's Shroud|Bandit Lord's Shroud|Bandit Lord's Shroud|Bandit Lord's Shroud
armors_black_knights_carapace|Black Knight's Carapace|Black Knight's Carapace|Black Knight's Carapace|Black Knight's Carapace|Black Knight's Carapace|Black Knight's Carapace|Black Knight's Carapace|Black Knight's Carapace
armors_behemoths_damascus_body|Behemoth’s Damascus Body|Behemoth’s Damascus Body|Behemoth’s Damascus Body|Behemoth’s Damascus Body|Behemoth’s Damascus Body|Behemoth’s Damascus Body|Behemoth’s Damascus Body|Behemoth’s Damascus Body
armors_sand_manipulators_kalasiris|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris
armors_ymirs_frozen_vestment|Ymir's Frozen Vestment|Ymir's Frozen Vestment|Ymir's Frozen Vestment|Ymir's Frozen Vestment|Ymir's Frozen Vestment|Ymir's Frozen Vestment|Ymir's Frozen Vestment|Ymir's Frozen Vestment
armors_einars_plated_armor|Einar's Plated Armor|Einar's Plated Armor|Einar's Plated Armor|Einar's Plated Armor|Einar's Plated Armor|Einar's Plated Armor|Einar's Plated Armor|Einar's Plated Armor
armors_gabriels_leather_trench_coat|Gabriel's Leather Trench Coat|Gabriel's Leather Trench Coat|Gabriel's Leather Trench Coat|Gabriel's Leather Trench Coat|Gabriel's Leather Trench Coat|Gabriel's Leather Trench Coat|Gabriel's Leather Trench Coat|Gabriel's Leather Trench Coat
armors_grimbones_ribcage|Grimbone's Ribcage|Grimbone's Ribcage|Grimbone's Ribcage|Grimbone's Ribcage|Grimbone's Ribcage|Grimbone's Ribcage|Grimbone's Ribcage|Grimbone's Ribcage
armors_odins_battlearmor|Odin's Battlearmor|Odin's Battlearmor|Odin's Battlearmor|Odin's Battlearmor|Odin's Battlearmor|Odin's Battlearmor|Odin's Battlearmor|Odin's Battlearmor
||||||||
[helms]||||||||
helmet_normal_cap|Cap|||||||
helmet_normal_casque|Casque|||||||
helmet_normal_basinet|Basinet|||||||
helmet_normal_war_hat|War Hat|||||||
helmet_normal_great_helm|Great Helm|||||||
helmet_normal_war_visage|War Visage|||||||
helmet_normal_shako|Shako|||||||
helmet_normal_horned_helm|Horned Helm|||||||
helmet_normal_basilisk_skull|Basilisk Skull|||||||
||||||||
[helms_unique]||||||||
helmet_harlequin_crest|Harlequinn’s Crest|||||||
helmet_colossal_avenger|The Colossal Avenger|Jättimäinenkostaja|O Vingador Colossal|Гигантский Мститель|巨人复仇者|復讐者軍団|거대한 복수자|Der Kolossale Rächer
helmet_demon_warlords_helm|Demon Warlord's Helm|Demonisotaherran Kypärä|Elmo do Demônio Senhor da Guerra|Шлем Высшего Демона|恶魔军阀的头盔|デーモン武将の兜|악마 장군의 투구|Helm des Dämonischen Kriegsherrn
helmet_the_bucket|The Bucket|Ämpäri|O Balde|Ведро|桶|バケツ|양동이|Der Eimer
helmet_sky_crusader_helm|Sky Crusader Helm|Taivasristiretkeilykypärä|Elmo do Cruzador do Céu|Небесный Шлем Крестоносца|天空十字军头盔|空のクルセーダーの兜|하늘의 십자군 투구|Helm des Himmlischen Kreuzritters
helmet_helm_of_dominator|Helm of Dominator|Dominoijan Kypärä|Elmo do Dominador|Доминатор|霸主的头盔|支配者の兜|정복자의 투구|Helm des Beherrschers
helmet_faceless_priest|The Faceless Priest|Kasvoton Pappi|O Sacerdote sem Rosto|Безликий Священник|无脸祭司|顔の無い祭司|얼굴 없는 성직자|Der Gesichtslose Priester
helmet_uabels_helmet|Uabel's Helmet|Uabelin Kypärä|Elmo de Uabel|Шлем Уабеля|乌贝尔头盔|ユーベルの兜|와벨의 투구|Uabels Helm
helmet_reapers_hood|Reaper's Hood|Viikatemiehen Kaapu|Capuz do Ceifador|Капюшон Жнеца|死神的兜帽|死神のフード|사신의 두건|Schnitterkapuze
helmet_genjis_battle_helmet|Genji's Battle Helmet|Genjin Taistelukypärä|Capacete de Batalha de Genji|Шлем Гэндзи|根吉的战斗头盔|ゲンジのバトル兜|겐지의 전투 투구|Genjis Kampfhelm
helmet_mevius_mighty_helmet|Mevius' Mighty Helmet|Meviuksen Mahtava Kypärä|Capacete Poderoso de Mevius|Великолепный Шлем Мевиуса|梅维乌斯强大头盔|メビウスの偉大な兜|뫼비우스의 힘의 투구|Mevius' Mächtiger Helm
helmet_flame_gods_helmet|Flame God's Helmet|Tulijumalan Kypärä|Capacete do Deus das Chamas|Шлем Бога Пламени|火王的头盔|炎神の兜|화염 신의 투구|Helm des Flammengottes
helmet_ice_kings_crown|Ice King's Crown|Jääkuninkaan Kruunu|Coroa do Rei do Gelo|Корона Короля Льдов|冰王皇冠|氷の王の冠|얼음 왕의 왕관|Krone des Eiskönigs
helmet_zeus_circlet|Zeus' Circlet|Zeuksen Otsaripa|Tiara de Zeus|Корона Зевса|宙斯的环形头饰|ゼウスのサークレット|제우스 서클릿|Zeus' Reif
helmet_rednecks_cap|Redneck's Cap|Punaniskan Lippis|Boné do Camponês|Шапка Деревенщины|红脖子的帽子|レッドネックの帽子|레드넥의 모자|Redneck-Kappe
helmet_pirate_captains_hat|Pirate Captain's Hat|Merirosvokapteenin Hattu|Chapéu do Capitão Pirata|Шляпа Капитана Пиратов|海盗船长的帽子|海賊船長の帽子|해적 대위의 모자|Hut des Piratenkapitäns
helmet_death_lords_crown|Death Lord's Crown|Kuolemanherran Kruunu|Coroa do Senhor da Morte|Корона Владыки Смерти|死神的皇冠|デス・ロードの冠|죽음의 신의 왕관|Krone des Todeslords
helmet_thors_battle_cap|Thor's Battle Cap|Odinin Taistelukypärä|Boné de Batalha de Odin|Шлем Одина|奥丁的战斗帽|オーディンのバトル・キャップ|오딘의 전투 모자|Odins Kampfhaube
helmet_vikings_sacred_helmet|Viking's Sacred Helmet|Viikingin Pyhäkypärä|Capacete Sagrado Viking|Священный шлем викинга|维京人的圣头盔|バイキングの神聖な兜|바이킹의 신성한 투구|Heiliger Wikingerhelm
helmet_nomads_sand_bandana|Nomad's Sand Bandana|Vaeltajan Hiekkahuivi|Bandana de Areia do Nômade|Бандана Кочевника|游牧者的沙子大手帕|ノマドのサンドバンダナ|노마드의 모래 두건|Sandbandana des Nomaden
helmet_nobunagas_battle_helmet|Nobunaga's Battle Helmet|Nobunagan Taistelukypärä|Capacete de Batalha de Nobunaga|Шлем Нобунага|织田信长的战斗头盔|信長のバトルヘルメット|노부나가의 전투용 헬멧|Schlachthelm des Nobunaga
helmet_gladiators_skullet|Gladiator's Skullet|Gladiaattorin Kallotti|Caveira do Gladiador|Шлем Гладиатора|角斗士的乌鱼发型|グラディエーターのスカルレット|글라디에이터의 스컬렛|Schädel des Gladiators
helmet_doctors_visage|Doctor's Visage|Tophtorin Kasvot|Rosto do Médico|Маска Доктора|医生的面貌|ドクターズヴィサージュ|의사의 얼굴|Visage des Doktors
helmet_aztec_crown|Aztec Crown|Atsteekkikruunu|Coroa Asteca|Корона Ацтеков|爱捷特皇冠|アズテッククラウン|아즈텍 크라운|Krone es Azteken
helmet_wendigo_skull|Wendigo Skull|Wendigokallo|Caveira de Wendigo|Череп Вендиго|联合头骨|ヴェンディゴスカル|웬디고 해골|Schädel des Wendigo
helmet_judge_jury_executioner|Judge, Jury & Executioner|Tuomari, Tuomaristo & Teloittaja|Juiz, Júri e Executor|Преступление и Наказание|法官、陪审团和刽子手|陪審と処刑人|심사 위원 및 집행관|Richter, Jury und Henker
helmet_death_knights_visage|Death Knight's Visage|Kuolemaritarin Kasvot|Rosto do Cavaleiro da Morte|Маска Рыцаря Смерти|死亡骑士的面貌|デスナイツヴィザージュ|죽음의 기사의 얼굴|Visage des Todesritters
helmet_ancient_avenger|Ancient Avenger|Muinaiskostaja|Vingador Ancião|Древний Мститель|古老的复仇者|アンシエントアベンジャー|고대 복수자|Alter Rächer
helmet_burning_gaze|Burning Gaze|Polttava Tuijotus|Olhar Ardente|Огненный Взор|燃烧的目光|バーニングゲイズ|불타는 듯한 눈|Brennender Blick
helmet_sight_of_gods|Sight Of The Gods|Jumalten Katse|Visão dos Deuses|Божественный Взор|众神之视|神々の光景|신들의 광경|Anblick der Götter
helmet_zealots_guise_of_doom|Zealot's Guise of Doom|Kiihkoilijan Tuomion Huppu|o disfarce de fanático da desgraça|Покров Смерти Фанатика|狂热者的厄运掩饰|熱狂的な運命の装い|열렬한 운명의 모습|Eiferers Gestalt des Untergangs
helmet_flame_diviners_refuge|Flame Diviner's Refuge|Tuliennustajan Turvapaikka|Refúgio do adivinho da chama|Шлем Прорицателя|烈焰圣地的避难所|炎占い師の避難所|화염 점쟁이의 피난처|Zuflucht der Flammenwahrsager
helmet_lumberjacks_safety_helm|Lumberjack's Safety Helm|Tukkimiehen Suojakypärä|Capacete de Segurança do Lenhador|Защитный Шлем Лесоруба|伐木工人的安全帽|木こりの安全ヘルメット|Lumberjack의 안전 헬멧|Holzfäller-Schutzhelm
helmet_bloodletters_crown|Blood-letter's Crown|Blood-letter's Crown|Blood-letter's Crown|Шлем Кровопускателя|Blood-letter's Crown|Blood-letter's Crown|Blood-letter's Crown|Blood-letter's Crown
helmet_venoms_skull|Venom's Skull|Venomin Pääkallo|Caveira de Venom|Костяной Шлем Веномансера|毒液的头骨|ヴェノムの頭蓋骨|독의 해골|Giftschädel
helmet_shield_bearers_crown|Shield Bearer's Crown|Kilvenkäyttäjän Kruunu|Coroa do Portador do Escudo|Корона Щитоносца|盾牌守卫者的王冠|シールドベアラーの王冠|방패 전달자의 왕관|Schildträgerkrone
helmet_juggernauts_siege_helm|Juggernaut's Siege Helm|Pysäyttämätön Voiman Piirityskypärä|Capacete de cerco de Juggernaut|Осадный Шлем Джаггернаута|剑圣的攻城头盔|ジャガーノートの包囲ヘルメット|저거너트의 공성 헬멧|Belagerungshelm von Juggernaut
helmet_lost_masters_vision|Lost Master's Vision|Kadonneen Mestarin Näkö|Visão do Mestre Perdida|Взор Мастера|失去大师的视野|失われたマスターのビジョン|잃어버린 스승의 비전|Die Vision des verlorenen Meisters
helmet_valkyries_winged_helm|Valkyrie's Winged Helm|Valkyrie's Winged Helm|Valkyrie's Winged Helm|Крылатый Шлем Валькирии|Valkyrie's Winged Helm|Valkyrie's Winged Helm|Valkyrie's Winged Helm|Valkyrie's Winged Helm
helmet_surgical_mask|Surgical Mask|Kirurginen naamio|Máscara cirúrgica|Surgical Mask|手术面罩|サージカルマスク|Surgical Mask|Chirurgische Maske
helmet_battle_worn_visor|Battle Worn Visor|Taistelussa kulunut visiiri|Viseira de batalha desgastada|Battle Worn Visor|战斗磨损的面罩|戦場で着用したバイザー|Battle Worn Visor|Schlacht Worn Visor
helmet_underworlds_skullbreaker|Underworld's Skullbreaker|Underworldin Skullbreaker|O quebrador de crânios do submundo|Underworld's Skullbreaker|冥界的破壳者|アンダーワールドのスカルブレーカー|Underworld's Skullbreaker|Schädelbrecher der Unterwelt
helmet_sand_travelers_guise|Sand Traveler's Guise|Hiekkamatkustajan asu|Guia do Viajante na Areia|Sand Traveler's Guise|沙地旅行者的幌子|サンドトラベラーズギース|Sand Traveler's Guise|Sand Traveler's Guise
helmet_crown_of_holy_one|Crown of the Holy One|Arcaniumin kruunu|Coroa de Arcanium|Crown of Arcanium|阿卡尼姆之冠|クラウン オブ アルカニウム|Crown of Arcanium|Krone von Arkanium
helmet_guise_of_dead|Guise of the Dead|Guise of the Dead|A capa dos mortos|Guise of the Dead|亡灵的幌子|ギゼ・オブ・ザ・デッド|Guise of the Dead|Das Gewand der Toten
helmet_veil_of_mystery|Veil of Mystery|Mysteerin verho|Véu de Mistério|Veil of Mystery|神秘的面纱|ベール・オブ・ミステリー|Veil of Mystery|Schleier des Geheimnisses
helmet_crown_of_north|Crown of the North|Crown of the North|Crown of the North|Crown of the North|Crown of the North|Crown of the North|Crown of the North|Crown of the North
helmet_tenebris_grievance|Tenebris' Grievance|Tenebris' Grievance|Tenebris' Grievance|Tenebris' Grievance|Tenebris' Grievance|Tenebris' Grievance|Tenebris' Grievance|Tenebris' Grievance
helmet_mask_of_beyond|Mask of the Beyond|Beyondin naamio|Máscara do Além|Mask of the Beyond|超越者的面具|マスク・オブ・ザ・ビヨンド|Mask of the Beyond|Maske des Jenseits
helmet_pit_lords_vanquisher|Pit Lord's Vanquisher|Pit Lord's Vanquisher|Pit Lord's Vanquisher|Pit Lord's Vanquisher|Pit Lord's Vanquisher|Pit Lord's Vanquisher|Pit Lord's Vanquisher|Pit Lord's Vanquisher
helmet_lava_kings_lost_mask|Lava King's Lost Mask|Laavakuninkaan kadonnut naamio|A Máscara Perdida do Lava King|Lava King's Lost Mask|熔岩王的失落面具|Lava King's Lost Mask|Lava King's Lost Mask|Die verlorene Maske des Lavakönigs
helmet_grand_champion|The Grand Champion|Suuri mestari|O Grande Campeão|The Grand Champion|大冠军|グランドチャンピオン|The Grand Champion|Der Großmeister
helmet_crown_of_midnight|Crown of Midnight|Keskiyön kruunu|Coroa da Meia-Noite|Crown of Midnight|午夜之冠|真夜中の王冠|Crown of Midnight|Krone der Mitternacht
helmet_nikitas_kj33_helmet|Nikita's KJ-33 Helmet|Nikita's KJ-33 Helmet|Nikita's KJ-33 Helmet|Nikita's KJ-33 Helmet|Nikita's KJ-33 Helmet|Nikita's KJ-33 Helmet|Nikita's KJ-33 Helmet|Nikita's KJ-33 Helmet
helmet_curator_of_secrets|The Curator of Secrets|The Curator of Secrets|The Curator of Secrets|The Curator of Secrets|The Curator of Secrets|The Curator of Secrets|The Curator of Secrets|The Curator of Secrets
helmet_sheep_kings_crown|Sheep King’s Crown|Sheep King’s Crown|Sheep King’s Crown|Sheep King’s Crown|Sheep King’s Crown|Sheep King’s Crown|Sheep King’s Crown|Sheep King’s Crown
helmet_warlords_fury|Warlord’s Fury|Warlord’s Fury|Warlord’s Fury|Warlord’s Fury|Warlord’s Fury|Warlord’s Fury|Warlord’s Fury|Warlord’s Fury
helmet_witches_brimmed_hat|Witches Brimmed Hat|Witches Brimmed Hat|Witches Brimmed Hat|Witches Brimmed Hat|Witches Brimmed Hat|Witches Brimmed Hat|Witches Brimmed Hat|Witches Brimmed Hat
helmet_assassins_hood|Assassin’s Hood|Assassin’s Hood|Assassin’s Hood|Assassin’s Hood|Assassin’s Hood|Assassin’s Hood|Assassin’s Hood|Assassin’s Hood
helmet_knight_captains_helmet|Knight Captain’s Helmet|Knight Captain’s Helmet|Knight Captain’s Helmet|Knight Captain’s Helmet|Knight Captain’s Helmet|Knight Captain’s Helmet|Knight Captain’s Helmet|Knight Captain’s Helmet
helmet_chronomancers_observance|Chronomancer's Observance|Chronomancer's Observance|Chronomancer's Observance|Chronomancer's Observance|Chronomancer's Observance|Chronomancer's Observance|Chronomancer's Observance|Chronomancer's Observance
helmet_sand_manipulators_mask|Sand Manipulator's Mask|Sand Manipulator's Mask|Sand Manipulator's Mask|Sand Manipulator's Mask|Sand Manipulator's Mask|Sand Manipulator's Mask|Sand Manipulator's Mask|Sand Manipulator's Mask
helmet_ymirs_frozen_shroud|Ymir's Frozen Shroud|Ymir's Frozen Shroud|Ymir's Frozen Shroud|Ymir's Frozen Shroud|Ymir's Frozen Shroud|Ymir's Frozen Shroud|Ymir's Frozen Shroud|Ymir's Frozen Shroud
helmet_einars_horned_helmet|Einar's Horned Helmet|Einar's Horned Helmet|Einar's Horned Helmet|Einar's Horned Helmet|Einar's Horned Helmet|Einar's Horned Helmet|Einar's Horned Helmet|Einar's Horned Helmet
helmet_gabriels_brimmed_fedora|Gabriel's Brimmed Fedora|Gabriel's Brimmed Fedora|Gabriel's Brimmed Fedora|Gabriel's Brimmed Fedora|Gabriel's Brimmed Fedora|Gabriel's Brimmed Fedora|Gabriel's Brimmed Fedora|Gabriel's Brimmed Fedora
helmet_grimbones_visage|Grimbone's Visage|Grimbone's Visage|Grimbone's Visage|Grimbone's Visage|Grimbone's Visage|Grimbone's Visage|Grimbone's Visage|Grimbone's Visage
helmet_odins_eternal_visage|Odin's Eternal Visage|Odin's Eternal Visage|Odin's Eternal Visage|Odin's Eternal Visage|Odin's Eternal Visage|Odin's Eternal Visage|Odin's Eternal Visage|Odin's Eternal Visage
||||||||
lore_helmet_crown_of_north|Forged from tarethium deep in the glacial caves of Danethorpe. The ancient Jötunn tribe used to make these…|||||||
lore_helmet_tenebris_grievance|Tenebris was a legendary battlefield medic specialized in amputations. He used this weird kind of substance to relieve pain…|||||||
lore_helmet_pit_lords_vanquisher|From the dark pits of tarethiel a legendary gladiators visage…|||||||
||||||||
[gloves]||||||||
gloves_normal_heavy_gloves|Heavy Gloves|||||||
gloves_normal_chain_gloves|Chain Gloves|||||||
gloves_normal_gauntlets|Gauntlets|||||||
gloves_normal_leather_gloves|Leather Gloves|||||||
gloves_normal_snakeskin_gloves|Snakeskin Gloves|||||||
gloves_normal_heavy_bracers|Heavy Bracers|||||||
gloves_normal_war_gauntlets|War Gauntlets|||||||
gloves_normal_devilhide_gloves|Devilhide Gloves|||||||
gloves_normal_vampirebone_gloves|Vampirebone Gloves|||||||
gloves_normal_demonbraces|Demonbraces|||||||
gloves_normal_ogre_gauntlets|Ogre Gauntlets|||||||
gloves_normal_archmage_wraps|Archmage Wraps|||||||
||||||||
[gloves_unique]||||||||
gloves_shadows_grasp|Shadow's Grasp|Varjon Ote|Domínio das Sombras|Хватка Тени|阴影之握|影の握り拳|그림자의 손아귀|Schattengriff
gloves_midas_hands|Midas' Hands|Midaksen Kädet|Mãos de Midas|Касание Мидаса|米塔斯之手|ミダースの手|마이다스의 손|Midashände
gloves_scuttle_crab_gauntlets|Scuttle Crab Gauntlets|Kipittäjäraputaisteluhanskat|Luvas de Caranguejo|Рукавицы Краба|碎蟹爪|慌てる蟹の籠手|가다랑어 게 건틀릿|Schiffskrabbenhandschuhe
gloves_warmasters_tribal_paws|Warmaster's Tribal Paws|Sotamestarin Heimotassut|Garras Tribais do Mestre da Guerra|Племенные Меховые Перчатки|战师的部落爪|ウォーマスターの部族の掌|웜마스터의 부족 발|Stammespranken des Kriegsmeisters
gloves_deaths_grasp|Death's Grasp|Kuoleman Ote|Domínio da Morte|Хватка Смерти|死亡之握|死の握り拳|죽음의 손아귀|Todesgriff
gloves_anubis_mighty_hands|Anubis' Mighty Hands|Anubiksen Mahtavat Kädet|Mãos Poderosas de Anúbis|Великолепные Рукавицы Анубиса|阿努比斯的强手|アヌビスの偉大な手|아누비스의 힘의 손|Mächtige Hände von Anubis
gloves_mevius_mighty_gauntlets|Mevius' Mighty Gauntlets|Meviuksen Mahtavat Taisteluhanskat|Luvas Poderosas de Mevius|Великолепные Рукавицы Мевиуса|梅维乌斯强大的铁手套|メビウスの偉大な籠手|뫼비우스의 힘의 건틀릿|Mevius' Mächtige Handschuhe
gloves_throat_cutters|Throat Cutters|Kurkunleikkajat|Corta-Garganta|Беспощадный Убийца|喉咙切割机|スロートカッター|목 절단기|Kehlentrenner
gloves_thors_battle_gloves|Thor's Battle Gloves|Odinin Taisteluhanskat|Luvas de Batalha de Odin|Рукавицы Одина|奥丁的战斗手套|オーディンのバトルグローブ|오딘의 전투 장갑|Odins Schlacht-Handschuhe
gloves_nomads_sand_mitts|Nomad's Sand Mitts|Vaeltajan Hiekkakintaat|Luvas de Areia do Nômade|Перчатки Кочевника|游牧的砂手套|ノマドのサンドミッツ|노마드의 모래 장갑|Sandhandschuhe des Nomaden
gloves_marksmans_hunting_gloves|Marksman's Hunting Gloves|Jousiampujan Metsästyshanskat|Luvas de Caça do Atirador|Охотничьи Перчатки Стрелка|射手的狩猎手套|マークスマンのハンティンググローブ|명사수의 사냥용 장갑|Jagdhandschuhe des Marksman
gloves_doctors_grasp|Doctor's Grasp|Tohtorin Ote|Aperto do Médico|Перчатки Доктора|医生的能力|ドクターズグラスプ|의사의 통제|Griff des Doktors
gloves_dantes_mitts|Dante's Mitts|||||||
gloves_lancers_gauntlets|Lancers Gauntlets|Kilpiseivästäjän Taisteluhanskat|Manoplas do Lanceiro|Рукавицы Копейщика|枪骑兵长手套|ランサーズガントレット|랜서즈 건틀렛|Handschuhe des Lanzenreiters
gloves_devils_grasp|Devil's Grasp|Paholaisen Ote|Aperto do Diabo|Хватка Дьявола|魔鬼的能力|デビルズグラスプ|악마의 통제|Griff des Teufels
gloves_gloves_of_wilderness|Gloves of Wilderness|Erämaan Käsi|Mãos do Selvagem|Рука Природы|荒野之手|荒野の手|야생의 손|Hände der Wildnis
gloves_hands_of_flame|Hands of Flame|Liekin Kädet|Mãos da Chama|Перчатки Пламени|火焰之手|炎の手|화염의 손|Hände der Flammen
gloves_conjurer_mitts|Conjurer Mitts|Velhokintaat|Luvas do Conjurador|Перчатки Колдуна|魔术师手套|コンジュラーミッツ|마법사 장갑|Handschuhe des Beschwörers
gloves_zealots_deathbringers|Zealot's Deathbringers|Kiihkoilijan Kuolemantuojat|Os portadores da morte do fanático|Предвестники Смерти Фанатика|狂热者的死亡使者|熱狂者の死をもたらす者|질롯의 죽음의 인도자|Eiferers Todesbringer
gloves_bone_conjurers_grips|Bone Conjurer's Grips|Luidentekijän Hanskat|Punhos do Conjurador de Osso|Наручи Заклинателя Костей|骨魔术师的握柄|ボーンコンジュラーのグリップ|뼈 창조자의 손 장갑|Knochenbeschwörergriffe
gloves_lumberjacks_safety_gloves|Lumberjack's Safety Gloves|||||||
gloves_bloodletters_plated_gauntlet|Blood-letter's Plated Gauntlet|Blood-letter's Plated Gauntlet|Blood-letter's Plated Gauntlet|Blood-letter's Plated Gauntlet|Blood-letter's Plated Gauntlet|Blood-letter's Plated Gauntlet|Blood-letter's Plated Gauntlet|Blood-letter's Plated Gauntlet
gloves_venoms_talons|Venom's Talons|Venom's Talons|Venom's Talons|Venom's Talons|Venom's Talons|Venom's Talons|Venom's Talons|Venom's Talons
gloves_champions_fighting_gloves|Champion's Fighting Gloves|Champion's Fighting Gloves|Champion's Fighting Gloves|Champion's Fighting Gloves|Champion's Fighting Gloves|Champion's Fighting Gloves|Champion's Fighting Gloves|Champion's Fighting Gloves
gloves_lost_masters_gauntlets|Lost Master's Gauntlets|Lost Master's Gauntlets|Lost Master's Gauntlets|Lost Master's Gauntlets|Lost Master's Gauntlets|Lost Master's Gauntlets|Lost Master's Gauntlets|Lost Master's Gauntlets
gloves_brawlers_fighting_mitts|Brawler's Fighting Mitts|Taistelijan Taistelukintaat|Luvas de combate do Brawler|Наручи Бойца|格斗家的搏击手套|喧嘩屋の格闘ミット|싸움꾼의 전투 용 장갑|Brawler's Fighting Mitts
gloves_shadow_occultists_wraps|Shadow Occultist's Wraps|Shadow Occultist's Wraps|Shadow Occultist's Wraps|Теневые Наручи Оккультиста|Shadow Occultist's Wraps|Shadow Occultist's Wraps|Shadow Occultist's Wraps|Shadow Occultist's Wraps
gloves_razor_knuckles|Razor Knuckles|Razor Knuckles|Navalhas de barbear|Razor Knuckles|剃刀指关节|レイザー・ナックルズ|Razor Knuckles|Rasierklinge
gloves_siege_breakers|Siege Breakers|Piirityksen rikkojat|Disjuntores de cerco|Siege Breakers|围攻者|Siege Breakers|Siege Breakers|Belagerungsbrecher
gloves_spellweavers|Spellweavers|Loitsunkirjoittajat|Feiticeiros|Spellweavers|咒语编织者|スペルウィーバー|Spellweavers|Spellweavers
gloves_ahtos_diamond_hands|St. Ahto's Diamond Hands|Pyhän Ahto timanttiset kädet|Mãos de diamante de St. Ahtos|St. Ahto's Diamond Hands|圣卡利亚兰斯的钻石之手|St.Ahtosのダイヤモンドハンド|St. Ahto’s Diamond Hands|St. Ahto’s Diamantenhände
gloves_uabels_gloves|Uabel's Gloves|Uabelin käsineet|Luvas de Uabel|Uabel's Gloves|乌伯尔的手套|ウアベルの手袋|Uabel's Gloves|Uabels Handschuhe
gloves_battle_worn_gauntlets|Battle Worn Gauntlets|Taistelun kuluneet hansikkaat|Luva de batalha desgastada|Battle Worn Gauntlets|战斗磨损的护手|バトルウェアン・ガントレット|Battle Worn Gauntlets|Kampf getragene Stulpen
gloves_wisdoms_hold|Wisdom's Hold|Wisdom's Hold|Wisdom's Hold|Wisdom's Hold|Wisdom's Hold|Wisdom's Hold|Wisdom's Hold|Wisdom's Hold
gloves_imbued_mage_gloves|Imbued Mage Gloves|Imbued Mage Gloves|Imbued Mage Gloves|Imbued Mage Gloves|Imbued Mage Gloves|Imbued Mage Gloves|Imbued Mage Gloves|Imbued Mage Gloves
gloves_battle_casters_gauntlets|Battle Caster’s Gauntlets|Battle Caster’s Gauntlets|Battle Caster’s Gauntlets|Battle Caster’s Gauntlets|Battle Caster’s Gauntlets|Battle Caster’s Gauntlets|Battle Caster’s Gauntlets|Battle Caster’s Gauntlets
gloves_plated_crimson_defenders|Plated Crimson Defenders|Plated Crimson Defenders|Plated Crimson Defenders|Plated Crimson Defenders|Plated Crimson Defenders|Plated Crimson Defenders|Plated Crimson Defenders|Plated Crimson Defenders
gloves_sand_manipulators_authority|Sand Manipulator's Authority|Sand Manipulator's Authority|Sand Manipulator's Authority|Sand Manipulator's Authority|Sand Manipulator's Authority|Sand Manipulator's Authority|Sand Manipulator's Authority|Sand Manipulator's Authority
gloves_einars_padded_gauntlets|Einar's Padded Gauntlets|Einar's Padded Gauntlets|Einar's Padded Gauntlets|Einar's Padded Gauntlets|Einar's Padded Gauntlets|Einar's Padded Gauntlets|Einar's Padded Gauntlets|Einar's Padded Gauntlets
||||||||
