[main_menu]|en|fi|pt|ru|zh|ja|ko|de
shaman_passive|Shaman has a chance to strike enemies with a lightning strike when attacking.|Shamaanin hyökkäyksillä on mahdollisuus kutsua salamanisku vihollisiin.|O Xamã tem uma chance de atacar inimigos com um golpe de luz, quando atacado.|Шаман имеет шанс при атаке ударить врага молнией|萨满有机会在攻击时用雷击打击敌人。|シャーマンは、 攻撃時に敵に雷を落とすチャンスがあります。|주술사는 공격 시 일정 확률로 적에게 번개를 칩니다.|Der Schamane hat die Chance, Feinde mit einem Blitzschlag zu treffen, wenn er angreift.
white_mage_passive|White Mage has a chance to remove a negative effect when healing and granting immunity against that effect for a short time.|Valkoisella velholla on mahdollisuus poistaa negatiiviset efektit parantaessaan ja antaa immuniteetti tälle efektille lyhyeksi ajaksi.|O Mago Branco tem uma chance de remover um efeito negativo quando cura e tem imunidade contra este efeito por um curto período.|Белый Маг имеет шанс при исцелении снять негативный эффект и даровать временный иммунитет к этом эффекту|白法师有机会在治疗时消除一种负面影响， 并在短时间内对此效果产生免疫。|ホワイトメイジ は、 ネガティブな 効果 から の 回復時 と その 効果 に 対して 短時間 免疫 を 与える 時に、 その 効果 を 取り除く チャンス が あります。|백마법사는 치유를 하거나 네거티브 효과에 대한 면역력을 부여할 때 일정 확률로 짧은 시간 동안 네거티브 효과를 제거합니다.|Der Weiße Magier hat die Chance, einen negativen Effekt zu beseitigen, wenn er heilt und gewährt kurzzeitig Immunität gegen diesen Effekt.
marauder_passive|Marauder's finely crafted spikeballs are unaffected by ranged resistant and reflecting enemies.|Kaukokestävät ja heijastavat viholliset eivät vaikuta ryövärin piikkipalloihin.|As bolas de espinhos muito bem feitas do Saqueador não são afetadas por inimigos refletivos e resistentes à distância.|Атаки Мародера игнорируют сопротивление дальним атакам и отражение урона.|掠夺 者 精湛 的 使用 强大 的 流星 锤 能够 免疫 远程 伤害 并 反 伤 敌人|マローダー の 細かく 作った スパイクボール が 敵の 長距離 免疫 と 跳ね返す 能力 を 突破 する。|Marauder's 정교하게 제작 된 스파이크 볼은 원거리 저항과 반사효과의적에게 영향을받지 않습니다.|Die fein gearbeiteten Stachelbälle des Marodeurs sind unbeeinflusst von fernkampfresistenten und reflektierenden Gegnern.
plague_doctor_passive|Plague Doctor has a 5% chance to inflict plague on enemies.|Ruttolääkärillä on 5% mahdollisuus levittää ruttoa vihollisiin.|O Médico da Peste tem 5% de chance de causar a peste nos inimigos.|Чумной доктор имеет 5% шанс заразить врага Чумой при попадании базовой атакой|瘟疫医生有5%的几率对敌人施加瘟疫效果。|ペスト医師は5％の確立で敵にペストをうつす|전염병 의사는 5% 확률로 적들에게 전염병을 일으킵니다.|Der Pestdoktor hat eine Chance von 5%, die Feinde mit einer Seuche zu infizieren.
lancer_passive|Lancer gains an extra 5% of base damage reduction.|Kilpiseivästäjä saa 5% muita enemmän pohjavahingonvähennystä.|O Lanceiro ganha 5% de redução de dano básico extra.|Копейщик получает дополнительные 5% к базовому Снижению урона|骑兵获得额外5%的基本伤害减少|ランサーの基本ダメージ減少値が 5% 上昇します|렌서가 기본 데미지 5% 감소를 얻었습니다.|Lanzenträger erhalten zusätzlich 5% Basis-Schadenreduzierung.
jotunn_passive|Little is known about the Jotunn…|||||||
illusionist_passive|The Illusionist bends time and space gaining 5% extra Energy.|The Illusionist bends time and space gaining 5% extra Energy.|The Illusionist bends time and space gaining 5% extra Energy.|The Illusionist bends time and space gaining 5% extra Energy.|The Illusionist bends time and space gaining 5% extra Energy.|The Illusionist bends time and space gaining 5% extra Energy.|The Illusionist bends time and space gaining 5% extra Energy.|The Illusionist bends time and space gaining 5% extra Energy.
season|Season|Kausi|Temporada|Сезон|赛季|シーズン|시즌|Saison
solo_self_found|Solo Self Found|Itselöydetty||||||
hardcore_desc|- Hardcore heroes will stay dead when they die and can only play with other hardcore heroes.|- Kuolevaiset sankarit pysyvät kuolleina ja voivat pelata vain muiden kuolevaisten kanssa.|- Heróis do hardcore permanecerão mortos quando morrem e só podem jogar com outros heróis hardcore.|При смерти персонажа в Режиме Хардкор ты безвозвратно теряешь персонажа и всю его экипировку. Не может взаимодействовать с персонажами Софткор режима.|——主要英雄死亡后将保持死亡状态，只能和其它主要英雄角色一起游戏。|- ハードコアヒーローは、死後に死んだままになり、他のハードコアヒーローと一緒の場合にのみプレイできます。|- 하드코어 영웅은 죽으면 사망한 채로 남게 되며, 오직 다른 하드코어 영웅과만 플레이할 수 있습니다.|- Hardcore-Helden bleiben tot wenn sie sterben und können nur mit anderen Hardcore-Helden spielen.
season_desc|- Seasonal heroes start fresh and can only play with other seasonal heroes.|- Kausisankarit aloittavat alusta ja voivat pelata vain muiden kausisankareiden kanssa.|- Os heróis sazonais começam frescos e só podem brincar com outros heróis sazonais.|Сезон - временный режим игры. Игроки начинают каждый новый Сезон с нуля. Не может взаимодействовать с несезонными персонажами.|——阶段性英雄可以重新开始，只能与其他阶段性英雄一起游戏。|- シーズンヒーローはフレッシュな状態で開始し、他のシーズンヒーローと一緒の場合にのみプレイできます。|- 시즌 영웅은 새롭게 시작하며, 다른 시즌 영웅과만 플레이할 수 있습니다.|- Saisonhelden beginnen neu und können nur mit anderen Saisonhelden spielen.
solo_self_found_desc|- Solo Self Found (SSF) heroes can only play solo. Market, trading and mailbox are disabled.|- Itselöydetty (SSF) sankarit voivat pelata vain yksin. Marketti, vaihtaminen ja postilaatikko on estetty.||||||
wrathofmevius|Wrath of Mevius|Meviuksen Viha|Ira de Mevius|Гнев Мевиуса|梅威斯之怒|メビウスの怒り|메비우스의 분노|Zorn von Mevius
slot|Slot|Paikka|Ranhura|Слот|空位|スロット|슬롯|Platz
shop|Shop|Kauppa|Loja|Магазин|商店|ショップ|상점|Laden
adventure_journal|Journal|Päiväkirja|Journal|Journal|Journal|Journal|Journal|Handbuch
level|Level|Taso|Nivel|Уровень|关卡|レベル|레벨|Level
empty|Empty|Tyhjä|Vazio|Пусто|空闲|空き|비어 있음|Leer
requires_karp|REQUIRES KARP OF DOOM TO PLAY|VAATII KARP OF DOOM LISÄOSAN|EXIGE KARP OF DOOM PARA JOGAR|ТРЕБУЕТСЯ ДОПОЛНЕНИЕ KARP OF DOOM|需要购买末日 卡普才能玩|カープ・オブ・ドゥーム を購入する 必要があります|플레이하려면 파멸의 잉어 DLC 필요|ERFORDERT KARP OF DOOM
requires_hell|REQUIRES DEPTHS OF HELL TO PLAY|VAATII DEPTHS OF HELL LISÄOSAN|EXIGE DEPTHS OF HELL PARA JOGAR|ТРЕБУЕТСЯ ДОПОЛНЕНИЕ DEPTHS OF HELL|需要购买地狱 深度才能玩|デプス・オブ・ヘル を購入する 必要があります|플레이하려면 지옥의 끝 DLC 필요|ERFORDERT DEPTHS OF HELL
requires_mevius|REQUIRES WRATH OF MEVIUS TO PLAY|VAATII WRATH OF MEVIUS LISÄOSAN|EXIGE WRATH OF MEVIUS PARA JOGAR|ТРЕБУЕТСЯ ДОПОЛНЕНИЕ WRATH OF MEVIUS|需要购买梅维乌 斯之怒才能玩|メビウスの怒り を購入する 必要があります|플레이하려면 메비우스의 분노 DLC 필요|ERFORDERT WRATH OF MEVIUS
requires_amazon|REQUIRES AMAZON PACK TO PLAY|VAATII AMAZON LISÄOSAN|EXIGE AMAZON PACK PARA JOGAR|ТРЕБУЕТСЯ ДОПОЛНЕНИЕ Class - Amazon|需要购买亚马逊包才能玩|アマゾンパック を購入する 必要があります|플레이하려면 아마존 팩 DLC 필요|ERFORDERT DAS AMAZON-PACK
requires_shaman|REQUIRES SHAMAN PACK TO PLAY|VAATII SHAMAN LISÄOSAN|EXIGE SHAMAN PACK PARA JOGAR|ТРЕБУЕТСЯ ДОПОЛНЕНИЕ Class - Shaman|需要萨满游戏包才能玩|プレイするにはシャ ーマンパックが必要です|플레이하려면 주술사 팩이 필요합니다|ERFORDERT DAS SHAMAN-PACK
requires_marauder|REQUIRES MARAUDER PACK TO PLAY|VAATII MARAUDER LISÄOSAN|EXIGE MARAUDER PACK PARA JOGAR|ТРЕБУЕТСЯ ДОПОЛНЕНИЕ Class - Marauder|需要掠夺者游 戏包才能玩|プレイするにはマロ ーダーパックが必要です|플레이하려면 약탈자 팩이 필요합니다|ERFORDERT DAS MARAUDER-PACK
requires_plague_doctor|REQUIRES PLAGUE DOCTOR DLC TO PLAY|VAATII PLAGUE DOCTOR LISÄOSAN|EXIGE A DLC DO MÉDICO DA PRAGA PARA JOGAR|ТРЕБУЕТСЯ ДОПОЛНЕНИЕ Class - Plague Doctor|需要瘟疫医生 DLC 才能进行游戏|プレイするにはペスト医師 DLC が必要です|플레이하려면 전염병 의사 DLC 필요|ERFORDERT DAS PLAGUE DOCTOR DLC
requires_lancer|REQUIRES LANCER DLC TO PLAY|VAATII LANCER LISÄOSAN|REQUER DLC DO LANCEIRO PARA JOGAR|ТРЕБУЕТСЯ ДОПОЛНЕНИЕ Class - Shield Lancer|需要装备长矛才能游戏|ランサー DLC の購入が必要です|플레이하기 위해서 렌서 콘텐츠 다운로드가 필요합니다|ERFORDERT DAS SHIELD LANCER DLC
requires_jotunn|REQUIRES GATES OF VALHALLA DLC TO PLAY|REQUIRES GATES OF VALHALLA DLC TO PLAY|REQUIRES GATES OF VALHALLA DLC TO PLAY|REQUIRES GATES OF VALHALLA DLC TO PLAY|REQUIRES GATES OF VALHALLA DLC TO PLAY|REQUIRES GATES OF VALHALLA DLC TO PLAY|REQUIRES GATES OF VALHALLA DLC TO PLAY|ERFORDERT GATES OF VALHALLA DLC
play|Play|Pelaa|Jogar|Играть|玩|プレイ|플레이|Spielen
continue|Continue|Jatka|Continuar|Продолжить|继续|継続|이어하기|Fortfahren
rename|Rename|Nimeä uudelleen|Renomear|Переименовать|重命名|名前を変更する|이름 변경|Umbenennen
reset_talents|Reset Skills|Palauta taidot||||||
reset_attributes|Reset Attribute Points|||||||
reset|Reset|Palauta|Reiniciar|Сброс|重启|リセット|초기화|Zurücksetzen
delete|Delete|Poista|Deletar|Удалить|删除|削除|삭제|Löschen
whats_your_name|What's your name?|Mikä sinun nimesi on?|Qual seu nome?|Имя персонажа?|你的名字是？|あなたの名前は何ですか？|당신의 이름은?|Wie lautet dein Name?
hardcore|Hardcore|Kuolevainen|Hardcore|Режим Хардкор|硬核模式|ハードコア|하드코어|Hardcore
softcore|Softcore|Normaali|Softcore|Режим Софткор|普通模式|ソフトコア|소프트코어|Softcore
exclusive|exclusive|lisäosa vaadittu|exclusivo|Эксклюзивный|专属|専属|전용|Exklusiv
coming_soon|Coming Soon|Tulossa Pian|Em Breve|Скоро|即将到来|近日公開|근일 발매|Demnächst verfügbar
username_validation|Illegal characters have been removed from your input resulting in the following text:|Laittomat merkit on poistettu syötteestäsi, minkä tuloksena on seuraava teksti:|Caracteres ilegais foram removidos de sua entrada resultando no seguinte texto:|Недопустимые символы были удалены, получен следующий текст:|非法字符已从您的输入中删除，导致出现以下文本：|不正な文字が入力から削除され、次のテキストが表示されます。|입력에서 잘못된 문자가 제거되어 다음 텍스트가 표시됩니다.|Unzulässige Zeichen wurden aus Ihrer Eingabe entfernt, was zu folgendem Text führte:
delete_prompt|Are you sure you want to delete this character? Your character will be deleted permanently!|Oletko varma että haluat poistaa tämän hahmon? Hahmosi poistetaan pysyvästi!|Tem certeza de que pretende eliminar este personagem? Seu personagem será excluído permanentemente!|Удалить этого персонажа? Персонаж будет удален безвозвратно!|你确定要删除这个角色？ 你的角色将会永久消失！|このキャラクターを削除してもよろしいですか？ あなたのキャラクターが永久に消えますぞ！|이 캐릭터를 삭제하시겠습니까? 한 번 삭제하면 되돌릴 수 없습니다!|Bist du sicher, dass du dieses Charakter löschen willst? Dein Charakter wird unwiderruflich gelöscht!
delete_failed|Could not delete character. Try again later.|Hahmoa ei voitu poistaa. Yritä myöhemmin uudelleen.|Não foi possível excluir o personagem. Tente mais tarde.|Не удалось удалить персонажа. Попробуйте позже.|无法删除字符。稍后再试。|文字を削除できませんでした。あとでもう一度試してみてください。|캐릭터를 삭제할 수 없습니다. 나중에 다시 시도하십시오.|Charakter konnte nicht gelöscht werden. Versuchen Sie es später erneut.
talents_prompt|Are you sure you want to reset your Skill Points?|Oletko varma että haluat palauttaa taitosi?|Tem certeza de que deseja redefinir seus pontos de talento?|Сбросить очки талантов?|你确定要重置你的角色的技能点吗？|タレントポイントをリセットしてもよろしいですか？|재능 포인트를 초기화하시겠습니까?|Bist du sicher, dass du deine Talentpunkte zurücksetzen willst?
attributes_prompt|Are you sure you want to reset your Attribute Points?|||||||
||||||||
[online]||||||||
ingame_tab|Ingame|Pelinsisäinen|In-game|Локальный|游戏中|インゲーム|인게임|Im Spiel
general_tab|General|Yleinen|Geral|Общий|通用|一般|일반|Allgemein
trade_tab|Trade|Vaihto|Trocas|Торговля|交易|交換|무역|Handel
guild_tab|Guild|Kilta|Guilda|Гильдия|公会|ギルド|길드|Gilde
login|Login|Kirjaudu sisään|Entrar|Войти|登录|ログイン|로그인|Anmeldung
register|Register|Rekisteröidy|Registro|Зарегистрироваться|注册|登録|회원가입|Registrieren
logout|Logout|Kirjaudu ulos|Sair|Выйти|登出|ログアウト|로그아웃|Abmelden
username|Username|Käyttäjänimi|Nome de usuário|Имя пользователя|用户名|ユーザー名|사용자 명|Benutzername
password|Password|Salasana|Senha|Пароль|密码|パスワード|비밀번호|Passwort
remember_username|Remember login|Muista kirjautuminen|Lembrar nome de usuário|Запомнить имя пользователя|记住用户名|ユーザー名を記憶する|사용자 명을 기억하십시오|Benutzername merken
retype_password|Re-type password|Salasana uudelleen|Redigite a senha|Повторите пароль|重新输入密码|パスワードを再入力する|비밀번호 재입력|Passwort wiederholen
email|E-mail|Sähköposti|E-mail|Эл. адрес|邮箱|Eメール|이메일|E-Mail
forgot_password|Forgot password?|Unohditko salasanasi?|Esqueceu a senha?|Забыли пароль?|忘记密码？|パスワードを忘れましたか？|비밀번호를 분실하셨습니까?|Passwort vergessen?
password_too_short|Passwords too short.|Salasana liian lyhyt.|Senha muito curta.|Слишком короткий пароль.|密码过短。|パスワードが短すぎます。|비밀번호가 너무 짧습니다.|Passwört zu kurz.
password_no_match|Passwords do not match.|Salasanat eivät täsmää.|A senha não combina.|Пароли не совпадают.|密码不匹配。|パスワードが一致しません。|비밀번호가 일치하지 않습니다.|Passwörter stimmen nicht überein.
information_missing|Insufficient information.|Tietoja puuttuu.|Informações insuficientes.|Недостаточно информации.|信息不足。|情報が不十分です。|정보가 불충분합니다.|Unzureichende Informationen.
logging_in|Logging in...|Kirjaudutaan sisään...|Entrando...|Вход в систему...|正在登陆。。。。。。|ログインしています...|로그인 중...|Einloggen...
wrong_password|Wrong password|Väärä salasana|Senha incorreta|Неверный пароль|错误密码|パスワードが間違っています|잘못된 비밀번호|Falsches Passwort
cannot_login|Cannot login to online services.|Kirjautuminen verkkopalveluihin epäonnistui.|Não foi possível se conectar aos serviços on-line.|Не удается зайти в онлайн-сервисы.|无法登录在线服务。|オンラインサービスにログインできません。|온라인 서비스에 로그인할 수 없습니다.|Anmeldung bei Online-Diensten nicht möglich.
description|Description|Selite|Descrição|Описание|描述|説明|소개문|Beschreibung
player_list_guild|Guild Members|Killan jäsenet|Membros da Guilda|Члены гильдии|公会成员|ギルドメンバー|길드원|Gildenmitglieder
join_discord|Join Hero Siege Discord server!|Liity Hero Siege Discord keskusteluun!|Junte-se ao servidor do Hero Siege no Discord!|Присоединяйся к Discord-серверу Hero Siege!|加入英雄围攻Discord服务器！|Hero Siege Discordサーバーに参加しましょう！|히어로 시즈의 Discord 서버에 참여하십시오!|Treten Sie dem Hero Siege Discord Server bei!
report_bugs|Report bugs|Raportoi bugeja|Reportar erros|Сообщить о баге|报告错误|レポートのバグ|보고서 버그|Fehler melden
players_online|Players Online|Pelaajia online|Jogadores Online|Игроков в сети|在线玩家|オンラインプレイヤー|온라인 플레이어|Spieler online
players|Players|Pelaajaa|Jogadores|Игроки|玩家|プレイヤー|플레이어|Spieler
create_private_game|Create Game|Luo Peli|Crie um Jogo|Создать игру|创建私人游戏|プライベートゲームを作成する|비공개 게임 생성|Erstelle ein Spiel
join_public_game|Find Public Game|Etsi julkinen peli|Participar de um Jogo Público|Присоединиться к публичной игре|加入公共游戏|パブリックゲームに参加する|공개 게임 참가|Öffentliches Spiel
join_private_game|Join Game|Liity peliin|Entrar no Jogo|Присоединиться|加入游戏|ゲームに参加する|게임 참가|Spiel beitreten
show_private_games|Show private games|Näytä yksityiset pelit|Mostrar jogos privados|Показать приватные игры|显示私人游戏|プライベートゲームを表示する|비공개 게임 보기|Private Spiele anzeigen
public_game_not_found|No public game was found with the current search criteria. Starting a new public game.|Nykyisillä hakuehdoilla ei löytynyt julkista peliä. Aloitetaan uusi julkinen peli.|Nenhum jogo público foi encontrado com os critérios de pesquisa atuais. Iniciando um novo jogo público.|Общедоступной комнаты с текущими критериями поиска не найдено. Создание новой комнаты.|当前的搜索条件未找到公开游戏。开始一个新的公共游戏。|現在の検索条件で公開ゲームは見つかりませんでした。新しい公開ゲームを開始します。|현재 검색 기준에 맞는 공개 게임이 없습니다. 새로운 공개 게임을 시작합니다.|Mit den aktuellen Suchkriterien wurde kein öffentliches Spiel gefunden. Starte ein neues öffentliches Spiel.
leaderboards|Leaderboards|Pistetaulukko|Placar de líder|Таблицы лидеров|排行榜|リーダーボード|리더보드|Bestenliste
hero_selection|Hero Selection|Hahmovalikko|Seleção do herói|К выбору героя|英雄选择|ヒーローセレクション|영웅 선택|Heldenauswahl
developer|Developer|Kehittäjä|Desenvolvedor|Разработчик|开发者|開発者|개발자|Entwickler
moderator|Moderator|Moderaattori|Moderador|Модератор|mod制作者|mod製作者|모더레이터|Moderator
admin|Admin|Ylläpitäjä|Admin|Администратор|管理员|管理者|관리자|Administrator
player|Player|Pelaaja|Jogador|Игрок|玩家|プレーヤー|플레이어|Spieler
hero_level|Hero level|Sankaritaso|Nível do herói|Уровень Героев|英雄等级|ヒーローレベル|영웅 레벨|Helden-Level
; wormhole|Wormhole ; in zones|Madonreikä ; in zones|Madonreikä ; in zones|Madonreikä ; in zones|Madonreikä ; in zones|Madonreikä ; in zones|Madonreikä ; in zones|Madonreikä ; in zones
expansion|Expansion|Lisäosa|Expansão|Дополнение|扩展|拡張|확장팩|Erweiterung
ready|Ready|Valmis|Pronto|Готово|准备|準備完了|준비|Bereit
refresh|Refresh|Päivitä|Atualizar|Обновить|刷新|リフレッシュ|새로 고침|Aktualisieren
enter|Enter|Mene|Entrar|Войти|进入|入力|입장|Betreten
wep_very_fast|Very Fast|Hyvin nopea|Muito Rápido|Очень быстро|极快|とても早い|매우 빠르게|Sehr Schnell
wep_fast|Fast|Nopea|Rápido|Быстро|快速|早い|빠르게|Schnell
wep_moderate|Moderate|Kohtalainen|Moderado|Умеренно|中速|普通|적당히|Moderat
wep_slow|Slow|Hidas|Devagar|Медленно|缓慢|遅い|천천히|Langsam
wep_very_slow|Very Slow|Hyvin hidas|Muito Devagar|Очень медленно|极慢|とても遅い|매우 천천히|Sehr Langsam
write_message|Write|Kirjoita|Escrever|Написать|写|記入|쓰기|Schreiben
invalid_code|No internet connection or invalid code.|Ei internet yhteyttä tai virheellinen koodi.|Sem ligação à Internet ou código inválido.|Нет подключения к сети или неверный код.|无网络连接或代码不可用|インターネットの無効接続もしくはコード不可用です。|인터넷에 연결되어 있지 않거나 유효하지 않은 코드입니다.|Keine Internetverbindung oder ungültiger Code.
server_down|No internet connection or server down.|Ei internet yhteyttä tai palvelin ei vastaa.|Sem ligação à Internet ou servidor desligado .|Нет подключения к сети или сервер недоступен.|无网络连接或服务器不可用|インターネットの無効接続もしくはサーバーダウンです。|인터넷에 연결되어 있지 않거나 서버가 다운되었습니다.|Keine Internetverbindung oder Serverausfall.
||||||||
[GUILDS]||||||||
guilds|Guilds|Killat|Guildas|Гильдии|公会|ギルド|길드|Gilden
guild_name|Guild Name|Killan nimi|Nome da Guilda|Название гильдии|公会名|ギルド名|길드 명|Gildenname
guild_tag|Guild Tag (max 4 symbols)|Killan lyhenne (max 4 symbolia)|Iniciais da guilda (máximo 4 símbolos)|Тег гильдии (максимум 4 символа)|公会标签（最多四个）|ギルドタグ（最大4記号）|길드 태그 (기호 최대 4개)|Gilden-Tag (max. 4 Symbole)
guild_desc|Guild Description|Killan selite|Descrição da guilda|Описание гильдии|公会描述|ギルドの説明|길드 소개문|Gildenbeschreibung
guild_perk_level_10|Daily Guild Quest (10)|||||||
guild_perk_level_20|Additional Daily Quest (20)|||||||
guild_perk_level_30|10% Discount to Mercenary Hire (30)|||||||
guild_perk_level_40|10% Discount to merc resurrection (40)|||||||
guild_perk_level_50|Unlock Guild Stash (50)|||||||
guild_perk_level_60|Tier 1 Perk (60)|||||||
guild_perk_level_70|Second Tier 1 Perk (70)|||||||
guild_perk_level_80|Tier 2 Perk (80)|||||||
guild_perk_level_90|Second Tier 2 Perk (90)|||||||
guild_perk_level_100|Tier 3 Perk (100)|||||||
guild_permission_no_access|No access|||||||
guild_permission_view_only|View only|||||||
guild_permission_add_items|Add items|||||||
guild_permission_full_access|Full access|||||||
guild_tab_display|Display|||||||
guild_tab_perks|Perks|||||||
guild_tab_settings|Settings|||||||
guild_officer_color|Officer color|||||||
guild_member_color|Member color|||||||
guild_officer_name|Officer name|||||||
guild_member_name|Member name|||||||
||||||||
red|Red|Punainen|Vermelho|Красный|红|赤|빨강|Rot
green|Green|Vihreä|Verde|Зеленый|绿|緑|초록|Grün
blue|Blue|Sininen|Azul|Синий|蓝|青|파랑|Blau
no_guild|You are not in a guild. Would you like to create one?|Et ole killassa. Haluaisitko luoda killan?|Você não está em uma guilda. Gostaria de criar uma?|У вас нет гильдии. Хотите создать?|你尚未加入公会。 你希望创建一个公会吗？|あなたはまだギルドに入っておりません。 1つ作成してみたらどうですか？|소속된 길드가 없습니다. 길드를 생성하시겠습니까?|Du bist nicht in einer Gilde. Möchten Sie eine erstellen?
resign|Resign|Eroa|Demitir-se|Отказаться|放弃|断念する|지역|Rücktritt
create|Create|Luo|Criar|Создать|创建|作成する|생성|Erstellen
yes|Yes|Kyllä|Sim|Да|是|はい|예|Ja
no|No|Ei|Não|Нет|否|いいえ|아니요|Nein
confirm|Confirm|Hyväksy|Confirmar|Подтвердить|确认|確認|확인|Bestätigen
cancel|Cancel|Peruuta|Cancelar|Отменить|取消|キャンセル|취소|Abbrechen
retry|Retry|Yritä uudelleen|Tentar novamente|Повторить|重试|リトライ|다시 해 보다|Wiederholen
guild_created|Guild created successfully.|Kilta luotu onnistuneesti.|Guilda criada com sucesso.|Гильдия успешно создана|公会已成功创建。|ギルドの設置に成功しました|길드가 성공적으로 생성되었습니다.|Gilde erfolgreich erstellt.
join|Join|Liity|Participar|Присоединиться|加入|参加|참가하기|Beitreten
request_trade|has sent a trade request|lähetti vaihtopyynnön|enviou um pedido de troca|отправил торговый запрос|已发送交易请求|トレードリクエストを送信しました|거래 요청을 보냈습니다.|hat eine Handelsanfrage gesendet
request_guild|has sent a request to join|lähetti pyynnön liittyä|enviou um pedido de adesão|хочет присоединиться|已发送加入请求|参加リクエストを送信しました|가입 요청을 보냈습니다.|hat eine Beitrittsanfrage gesendet
request_trade_sent|Pending trade request with|Odotetaan kauppapyyntöä pelaajalta|Pedido de negociação pendente com|Отправлен запрос на торговлю с|待处理的贸易要求|保留中の取引リクエスト|거래 요청 대기 중|Ausstehende Handelsanfrage mit
friend_list|Friend List|Ystävälista|Lista de amigos|Список друзей|好友列表|友達リスト|친구 목록|Freundesliste
friend_enter_id|Enter friend id:|Syötä ystävän id:|Insira a id do amigo:|Введите идентификатор друга:|输入朋友ID：|友達IDを入力してください：|친구 ID 입력 :|Freund-ID eingeben:
friend_add|Add Friend|Lisää ystävä|Adicionar amigo|Добавить в друзья|添加好友|友人を追加する|친구 추가|Freund hinzufügen
friend_remove|Remove Friend|Poista ystävä|Remover amigo|Удалить из друзей|删除朋友|友達を削除する|친구 제거|Freund entfernen
invite|Invite|Kutsu||||||
guild_link_warning|Careful! This is a third party link that is NOT associated with Panic Art Studios, but put here by your guild manager. Are you sure you wish to proceed to |||||||
||||||||
[shop]||||||||
clothing|Clothing|Vaatteet|Roupas|Одежда|服装|衣装|복장|Bekleidung
minion|Mercenary|Palkkasoturi|Mercenário|Наемник|部下|ミニオン（部下）|부하|Söldner
active|Active|Aktiivinen|Ativo|Активный|活跃|有効|활성화|Aktiv
passive|Passive|Passiivinen|Passivo|Пассивный|被动|パッシブ|패시브|Passiv
name_color|Name color|Nimen väri|Cor do nome|Цвет имени|名字颜色|名前の色|이름 색깔|Namensfarbe
exit_shop|Exit shop|Poistu kaupasta|Sair da loja|Выйти|退出商店|ショップから出る|상점에서 나가기|Shop verlassen
melee|Melee|Lähitaistelu|Corpo a corpo|Ближний Бой|近战|近接|근접|Nahkampf
ranged|Ranged|Kaukotaistelu|Longo alcance|Дальний Бой|远程|遠隔|원거리|Fernkampf
name|Name|Nimi|Nome|Имя|名字|名前|이름|Bennenen
use|use|käytä|Usar|использовать|使用|使用|사용|nutzen
choose_portrait|Portrait|Valitse kuvake|Retrato|Портрет|肖像|ポートレート|초상화|Porträt
hud|Interface|Käyttöliittymä|Interface|Интерфейс|界面|インターフェース|상호 작용|Interface
not_enough_rubies|not enough rubies|ei tarpeeksi rubiineja|Não a bastante rubis|недостаточно Рубинов|红宝石不足|ルビーが足りない|루비가 부족합니다|zu wenig Rubine
not_enough_crystals|not enough crystals|ei tarpeeksi kristalleja|Cristais insuficientes|недостаточно Кристаллов|水晶不足|クリスタルが足りない|크리스탈이 부족합니다|zu wenig Kristalle
not_enough_gold_need|Not enough gold. You need|Ei tarpeeksi kultaa. Tarvitset|Ouro insuficiente. Você precisa de|Недостаточно Золота. Вам нужно|黄金不足。你需要|ゴールドが足りません。あと _ 必要です|골드가 충분하지 않습니다. ___만큼이 더 필요합니다.|Nicht genug Gold. Du brauchst
not_enough_gold|not enough gold|ei tarpeeksi kultaa||||||
coins_to_reset_talents|coins to reset talents.|kultaa palauttaaksesi taitosi.|moedas para resetar os talentos.|монет для сброса талантов.|才能重新设定角色技能。|タレントをリセットするまで _ 枚のコイン|재능을 리셋하는데 ___만큼의 코인이 필요합니다.|Münzen, um die Talente zurückzusetzen.
coins_to_rename|coins to rename.|kultaa uudelleennimetäksesi.|coins to rename.|coins to rename.|coins to rename.|coins to rename.|coins to rename.|Münzen um dich umzubenennen.
saving_shop|Saving shop...|Tallennetaan kauppaa...|Salvando a loja...|Сохранение изменений...|保存商店...|ショップを保存しています...|상점 저장 중...|Speichern...
unlocked|Unlocked|Avattu|Desbloqueado|Разблокировано|已解锁|ロックが解除された|잠금 해제|Entsperrt
unlock|Unlock|Avaa|Desbloquear|Разблокировать|开锁|ロック解除|터놓다|Freischalten
lock|Lock|Lukitse|Lock|Lock|Lock|Lock|Lock|Sperren
buy_key|Buy Key|Osta Avain|Chave de Compra|Купить Ключ|购买密钥|キーを購入|구매 키|Schlüssel Kaufen
requires_hero_level|Requires Hero Level|Vaatii sankaritason|Requer Nível Herói|Требуется Уровень Героев|需要英雄等级|ヒーローレベルが必要|필요한 영웅 레벨|Benötigt Helden-Level
halloween|Halloween|Halloween|Halloween|Хэллоуин|万圣节|ハロウィーン|할로윈|Halloween
christmas|Christmas|Joulu|Natal|Рождество|圣诞节|クリスマス|크리스마스|Weihnachten
reward|Reward|palkinto|Recompensa|Награда|报酬|報酬|보상|Belohnung
easter_egg|Shh... It's a secret.|Shh... Se on salaisuus.|Shh... É um segredo.|Тсс... Это секрет.|嘘...它是个秘密。|シーっ...これは秘密です。|쉿... 이건 비밀이야.|Shh... Es ist ein Geheimnis.
featured|Featured|Esittelyssä|Destacado|Рекомендуем|特征|注目の|추천|Vorgestellt
