[npc]|en|fi|pt|ru|zh|ja|ko|de
ct_god_2|The world is full of evil beings... If only I created a Hero to slay them... You can get to work now, goodbye.|Maailma on täynnä pahuuksia... Jospa vain loisin sankarin kukistamaan ne... Voit ryhtyä hommiin nyt, näkemiin.|O mundo está cheio de seres malignos... Se eu apenas criasse um Herói para matá-los... Você pode começar a trabalhar agora, adeus.|Мир полол зла… Вот если бы Я создал Героя, который очистил бы его… Что стоишь? Иди работай!|世界上到处都是邪恶的生物...如果我创造了一个杀死他们的英雄...那么，你就可以开始工作了，再见。|世界は邪悪な存在でいっぱいです...私が彼らを殺すためにヒーローを作成しただけなら...あなたは今仕事に取り掛かることができます、さようなら。|세상은 사악한 존재들로 가득 차 있습니다... 내가 그들을 죽이기 위해 영웅을 만들었다면... 이제 일할 수 있습니다, 안녕.|Die Welt ist voller böser Wesen... Wenn ich nur einen Helden erschaffen hätte, um sie zu töten... Du kannst jetzt an die Arbeit gehen, auf Wiedersehen.
ct_god_3|I am extremely busy can you not see? It isn't easy being in charge of Heaven.|Olen erittäin kiireinen, etkö näe? Ei ole helppoa olla luomakunnan pomo.|Estou extremamente ocupada, não percebe? Não é fácil estar no comando do céu.|Я очень занят, разве ты не видишь? Управлять Небесами непросто.|我非常忙，看不到吗？掌管天堂并非易事。|とても忙しいので見えませんか？天国を担当するのは簡単ではありません。|너무 바빠서 안보여? 천국을 담당하는 것은 쉽지 않습니다.|Ich bin sehr beschäftigt, kannst du nicht sehen? Es ist nicht leicht, die Verantwortung für den Himmel zu übernehmen.
||||||||
ct_elias_1|Go away! You're killing my flow...|Mene pois! Tapat minun flown...|Vá embora! Você está matando meu fluxo...|Уйди! Всю атмосферу портишь…|走开！你在杀了我|どこかに行って！あなたは私の流れを殺している...|저리가! 당신은 내 흐름을 죽이고...|Geh weg! Du tötest meinen Fluss...
ct_jussi_1|Don't do as I do, do as I say.|Älä tee kuten minä teen, tee kuten minä sanon.|Não faça o que eu faço, faça o que eu digo.|Делай то, что я говорю, а не то, что я делаю.|不要像我那样做，按我说的做。|私のようにしないでください、私が言うようにしてください。|내가하는대로하지 마십시오.|Tu nicht wie ich, mach was ich sage.
bd_jussi_1|Yes, what? Can't I even have one smoke break in peace?|||||||
ct_mika_1|Just making art, trying not to panic.|Teen vain taidetta, yritän olla panikoimatta.|Apenas fazendo arte, tentando não entrar em pânico.|Пишу арты, стараюсь не паниковать.|只做艺术，不要惊慌。|パニックにならないように、ただアートを作っているだけです。|당황하지 않으려 고 예술을 만드는 것뿐입니다.|Nur Kunst machen, nicht in Panik geraten.
ct_anton_1|What is the worth of driving a car if it is not a Mercedes ?|Mitä järkeä on ajaa autolla jos se ei ole Mercedes ?|De que vale dirigir um carro se não for um Mercedes?|Какой смысл водить машину, если это не Мерседес?|如果不是梅赛德斯，开车有什么价值？|メルセデスでない場合、車を運転する価値は何ですか？|메르세데스가 아니라면 차를 운전할 가치가 있습니까?|Was ist es wert, ein Auto zu fahren, wenn es kein Mercedes ist?
ct_samuel_1|Listen, [name]. Never forget. Just believe in yourself. Not in the [name] that I believe in. Not in the Samuel that you believe in. Have faith in the [name] who believes in you.|Kuuntele, [name]. Älä koskaan unohda tätä. Usko vain itseesi. Ei siihen [name]:n, johon minä uskon, ei siihen Samueliin, johon sinä uskot. Usko siihen [name]:n, joka uskoo sinuun.|Ouça, [name]. Nunca esqueça. Apenas acredite em você mesmo. Não no [name] em que eu acredito. Não no Samuel em que você acredita. Tenha fé no [name] que acredita em você.|Listen, [name]. Never forget. Just believe in yourself. Not in the [name] that I believe in. Not in the Samuel that you believe in. Have faith in the [name] who believes in you.|听着，[name]。永远不要忘记。只要相信你自己。不要相信我所相信的[name]；不要相信你所相信的塞缪尔。要对相信你的[name]有信心。|聞いてくれ、[name]。決して忘れないでください。自分を信じてください。私が信じている[name]ではなく、あなたが信じているサミュエルでもない。自分を信じている[name]を信じてください。|Listen, [name]. Never forget. Just believe in yourself. Not in the [name] that I believe in. Not in the Samuel that you believe in. Have faith in the [name] who believes in you.|Hör zu, [name]. Vergiss das nie. Glaube nur an dich selbst. Nicht an den [name], an den ich glaube. Nicht an den Samuel, an den du glaubst. Glauben Sie an den [name], der an Sie glaubt.
ct_rexi_1|Want to hear my masterpiece?|Haluatko kuulla mestariteokseni?|Quer ouvir minha obra-prima?|Хотите послушать мой шедевр?|想听听我的杰作吗？|私の傑作を聞きたいですか？|내 걸작을 듣고 싶으세요?|Willst du mein Meisterwerk hören?
ct_rexi_2|I shall play it anyway!|Soitan sen silti!|Vou jogar de qualquer maneira!|А я всё равно включу!|我还是去玩！|とにかく弾きます！|어쨌든 나는 그것을 할 것이다!|Ich werde es trotzdem spielen!
ct_david_0|Let the hammer of eternity descend unto me! My name is David! I am a user of the finest balancing developers possess, and I command the power to nerf. Behold my power!|Laskeutukoon ikuisuuden vasara minun päälleni! Nimeni on David! Olen kehittäjien hallussa olevan hienoimman tasapainottamisen käyttäjä, ja minulla on valta nerfata. Katsokaa voimaani!|Que o martelo da eternidade desça até mim! Meu nome é David! Sou um usuário dos melhores desenvolvedores de balanceamento que possuo, e comando o poder de nerf. Eis o meu poder!|Let the hammer of eternity descend unto me! My name is David! I am a user of the finest balancing developers possess, and I command the power to nerf. Behold my power!|让永恒的锤子降临在我身上!我的名字是大卫!我是最优秀的平衡开发者的使用者，我拥有削弱的力量。请看我的力量!|永遠のハンマーを私に降ろしてください。我が名はDavid!私は開発者が持つ最高のバランス調整の使い手であり、ナーフする力を持っている。我が力を見よ!|Let the hammer of eternity descend unto me! My name is David! I am a user of the finest balancing developers possess, and I command the power to nerf. Behold my power!|Lass den Hammer der Ewigkeit auf mich herabsteigen! Mein Name ist David! Ich bin ein Anwender des besten Balancings, das Entwickler besitzen, und ich verfüge über die Macht des Nerfs. Seht meine Macht!
ct_david_1|Sleep is for the weak or those who don't want to keel over|Nukkuminen on heikkoja varten tai niitä varten, jotka eivät halua mennä nurin.|Dormir é para os fracos ou para aqueles que não querem se afundar|Sleep is for the weak or those who don't want to keel over|睡眠是为弱者或那些不希望瘫痪的人准备的。|睡眠は弱者や倒れたくない人のためのもの|Sleep is for the weak or those who don't want to keel over|Schlaf ist für die Schwachen oder die, die nicht umkippen wollen
ct_david_2|Devlin, the man who never got into the Alpha realm.|Devlin, mies, joka ei koskaan päässyt alfa-maailmaan.|Devlin, o homem que nunca chegou a entrar no reino Alfa.|Devlin, the man who never got into the Alpha realm.|德夫林，这个从未进入过阿尔法领域的人。|アルファの領域に入れなかった男、デブリン。|Devlin, the man who never got into the Alpha realm.|Devlin, der Mann, der nie in das Alpha-Reich kam.
ct_david_3|Tom sure is a Handsome server extinguisher.|Tom on todella komea palvelimen sammuttaja.|Tom certamente é um extintor de servidores bonito.|Tom sure is a Handsome server extinguisher.|汤姆确实是一个英俊的服务器灭火器。|トムは確かにハンサムなサーバーの火消し役だ。|Tom sure is a Handsome server extinguisher.|Tom ist wirklich ein Handsome Serverlöscher.
ct_david_4_1|Behold, Cofeiini: the greatest Wizard in Tarethiel! He's somewhere around here... Petting cats.|Katsokaa, Cofeiini: Tarethielin suurin velho! Hän on jossain täällä... Silittämässä kissoja.|Eis, Cofeiini: o maior Feiticeiro de Tarethiel! Ele está em algum lugar por aqui... Gatos de estimação.|Behold, Cofeiini: the greatest Wizard in Tarethiel! He's somewhere around here... Petting cats.|看哪，科菲尼：塔雷赛尔最伟大的魔法师！他就在这附近。他就在这附近...抚摸猫咪。|見よ、Cofeiini：Tarethielで最も偉大な魔法使い!彼はこの辺りにいる...。猫を撫でている。|Behold, Cofeiini: the greatest Wizard in Tarethiel! He's somewhere around here... Petting cats.|Seht, Cofeiini: der größte Zauberer von Tarethiel! Er ist irgendwo hier in der Nähe... und streichelt Katzen.
ct_david_4_2|Behold, Cofeiini: the greatest Wizard in Tarethiel! He's somewhere around here... Drinking inhuman amounts of coffee.|Katsokaa, Cofeiini: Tarethielin suurin velho! Hän on jossain täällä... Juomassa epäinhimillisiä määriä kahvia.|Eis, Cofeiini: o maior Feiticeiro de Tarethiel! Ele está em algum lugar por aqui... Bebendo quantidades desumanas de café.|Behold, Cofeiini: the greatest Wizard in Tarethiel! He's somewhere around here... Drinking inhuman amounts of coffee.|看哪，科菲尼：塔雷赛尔最伟大的魔法师！他就在这附近。他就在这附近...喝着非人的咖啡。|見よ、Cofeiini：Tarethielで最も偉大な魔法使い!彼はこの辺りにいる...。人間離れした量のコーヒーを飲んでいる。|Behold, Cofeiini: the greatest Wizard in Tarethiel! He's somewhere around here... Drinking inhuman amounts of coffee.|Seht, Cofeiini: der größte Zauberer von Tarethiel! Er ist irgendwo hier in der Nähe... und trinkt unmenschliche Mengen an Kaffee.
ct_david_5|Selling builds! Step right up and come get your builds!|Myyntiin oppaita! Tulkaa hakemaan oppaanne!|Guias de venda! Aproxime-se e venha buscar seus guias!|Selling guides! Step right up and come get your guides!|售卖指南!快来拿你的指南吧!|ガイドを売るガイドを取りに来てください。|Selling guides! Step right up and come get your guides!|Verkauft Führungen! Treten Sie vor und holen Sie sich Ihre Führungen!
ct_david_6|Someone's got to be the good cop... but the bad cop really isn't so bad after all.|Jonkun on oltava hyvä poliisi... mutta paha poliisi ei olekaan niin paha.|Alguém tem que ser o polícia bom... mas o polícia mau não é tão mau afinal de contas.|Someone's got to be the good cop... but the bad cop really isn't so bad after all.|总得有人当好警察......但坏警察毕竟不是那么坏。|誰かが良い警官にならなければならない...でも、悪い警官は結局そんなに悪くはない。|Someone's got to be the good cop... but the bad cop really isn't so bad after all.|Jemand muss der gute Bulle sein ... aber der böse Bulle ist doch gar nicht so schlecht.
ct_david_7|Is that an unbalanced item I see in your pocket or are you just happy to see me?|Näenkö taskussasi tasapainottoman esineen vai oletko vain iloinen nähdessäsi minut?|É um item desequilibrado que eu vejo em seu bolso ou você está feliz por me ver?|Is that an unbalanced item I see in your pocket or are you just happy to see me?|我在你的口袋里看到的是一个不平衡的物品，还是你只是很高兴见到我？|あなたのポケットに見えるのは、アンバランスなアイテムなのか、それとも私に会えて嬉しいだけなのか？|Is that an unbalanced item I see in your pocket or are you just happy to see me?|Ist das ein unausgewogener Gegenstand, den ich in Ihrer Tasche sehe, oder freuen Sie sich einfach, mich zu sehen?
ct_david_8|Mika, one of the god's of Tarethiel, can create anything with just a stroke of his hand.|Mika, yksi Tarethielin jumalista, voi luoda mitä tahansa kädenliikkeellään.|Mika, um dos deuses de Tarethiel, pode criar qualquer coisa com apenas um golpe de mão.|Mika, one of the god's of Tarethiel, can create anything with just a stroke of his hand.|米卡是塔雷西尔的神之一，只需用手一划就能创造任何东西。|タレチエルの神の一人であるミカは、手を動かすだけで何でも作り出すことができる。|Mika, one of the god's of Tarethiel, can create anything with just a stroke of his hand.|Mika, einer der Götter von Tarethiel, kann alles mit einem Schlag seiner Hand erschaffen.
ct_david_9|Sorry for the nerfing of the items... Not really though, they were bugs.|Pahoittelut esineiden halventamisesta... Ei oikeastaan, ne olivat bugeja.|Desculpe pelo rebaixamento dos itens... Mas não realmente, eram insetos.|Sorry for the nerfing of the items... Not really though, they were bugs.|很抱歉对物品的贬低......但不是真的，它们是虫子。|品物を粗末にしてしまってすみません...。虫なんですけどね。|Sorry for the nerfing of the items... Not really though, they were bugs.|Entschuldigung für die Entwertung der Gegenstände... Nicht wirklich aber, sie waren Bugs.
ct_david_10|I often get mistaken for a robot, for some reason.|Minua luullaan usein jostain syystä robotiksi.|Muitas vezes sou confundido com um robô, por alguma razão.|I often get mistaken for a robot, for some reason.|由于某种原因，我经常被误认为是机器人。|なぜかよくロボットに間違われます。|I often get mistaken for a robot, for some reason.|Aus irgendeinem Grund werde ich oft mit einem Roboter verwechselt.
ct_david_11|The staff building the tower are amazing, make sure you don't harm them.|Tornia rakentava henkilökunta on uskomaton, pidä huoli, ettet vahingoita heitä.|O pessoal que constrói a torre é incrível, certifique-se de não prejudicá-los.|The staff building the tower are amazing, make sure you don't harm them.|建塔的工作人员很了不起，确保你不伤害他们。|タワーを建設しているスタッフは素晴らしいので、彼らを傷つけないようにしてください。|The staff building the tower are amazing, make sure you don't harm them.|Die Mitarbeiter, die den Turm bauen, sind erstaunlich, stellen Sie sicher, dass Sie sie nicht verletzen.
ct_david_12|I met the Yusuf of The Night, a truly terrifying creature to behold!|Tapasin Yön Yusufin, joka on todella pelottava olento!|Conheci o Yusuf da Noite, uma criatura verdadeiramente aterrorizante de se ver!|I met the Yusuf of The Night, a truly terrifying creature to behold!|我遇到了 夜之优素福，一个真正可怕的生物。|夜のユスフに会ったが、本当に恐ろしい生き物だった。|I met the Yusuf of The Night, a truly terrifying creature to behold!|Ich traf den Yusuf der Nacht, eine wahrhaft furchterregende Kreatur, die es zu sehen galt!
ct_david_13|Boss runes... I think I have heard about a few before in an old tale.|Pomo riimut... Olen tainnut kuulla muutamasta sellaisesta vanhassa tarinassa.|Runas do chefe... Acho que já ouvi falar de algumas antes em um conto antigo.|Boss runes... I think I have heard about a few before in an old tale.|老板的符文...我想我以前在一个古老的故事中听说过一些。|ボスのルーン...。昔話で聞いたことがあるような気がします。|Boss runes... I think I have heard about a few before in an old tale.|Boss-Runen... Ich glaube, ich habe schon einmal in einer alten Geschichte von ein paar gehört.
ct_david_14|I had no chance when the golden goddess captivated my thoughts and dreams.|Minulla ei ollut mitään mahdollisuuksia, kun kultainen jumalatar valloitti ajatukseni ja unelmani.|Não tive nenhuma chance quando a deusa dourada cativou meus pensamentos e meus sonhos.|I had no chance when the golden goddess captivated my thoughts and dreams.|当金色的女神俘虏了我的思想和梦想时，我没有机会。|黄金の女神が私の思考と夢を魅了したとき、私にはチャンスがなかった。|I had no chance when the golden goddess captivated my thoughts and dreams.|Ich hatte keine Chance, als die goldene Göttin meine Gedanken und Träume gefangen nahm.
ct_david_15|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa。|アアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアアア|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.|aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.
ct_david_16|"...and so they called him ""the Beard""."|"...ja siksi häntä kutsuttiin ""Parraksi""."|"...e por isso o chamaram de ""a Barba""."|"...and so they called him ""the Beard""."|"......所以他们叫他 ""大胡子""。"|...だから、彼は「ヒゲ」と呼ばれた。|"...and so they called him ""the Beard""."|"...und so nannten sie ihn ""den Bärtigen""."
ct_tomi_1|"You just lost ""The Game"", [heroname] ;)"|"Hävisit juuri ""Pelin"" ;)"|"Você acabou de perder ""O Jogo"" ;)"|"You just lost ""The Game"" ;)"|"你刚刚失去了 ""游戏""；)"|"あなたは ""The Game ""を失ったのです。)"|"You just lost ""The Game"" ;)"|"Sie haben gerade ""Das Spiel"" verloren ;)"
ct_marcio_1|This is a placeholder since I am un-original and un-funny and I am overthinking what I should say|||||||
ct_alias_1|What am I doing here? Oh god... this is my worst nightmare. They put me inside a GMS2 project|What am I doing here? Oh god... this is my worst nightmare. They put me inside a GMS2 project|What am I doing here? Oh god... this is my worst nightmare. They put me inside a GMS2 project|What am I doing here? Oh god... this is my worst nightmare. They put me inside a GMS2 project|What am I doing here? Oh god... this is my worst nightmare. They put me inside a GMS2 project|What am I doing here? Oh god... this is my worst nightmare. They put me inside a GMS2 project|What am I doing here? Oh god... this is my worst nightmare. They put me inside a GMS2 project|What am I doing here? Oh god... this is my worst nightmare. They put me inside a GMS2 project
ct_severus_1|Developr, developer…. Gaame makker game makker, [heroname] lol|||||||
rng_shrine|Welcome to the altar of the RNG, brave hero. Here you can pray to me, and I will give you my blessing.|||||||
rng_shrine_2|I shall bless you anyway. It can’t hurt, right?|||||||
||||||||
st_peter_1|The fallen angel's keys... Would you like to see the splendor of Heaven?|The fallen angel's keys... Would you like to see the splendor of Heaven?|The fallen angel's keys... Would you like to see the splendor of Heaven?|The fallen angel's keys... Would you like to see the splendor of Heaven?|The fallen angel's keys... Would you like to see the splendor of Heaven?|The fallen angel's keys... Would you like to see the splendor of Heaven?|The fallen angel's keys... Would you like to see the splendor of Heaven?|The fallen angel's keys... Would you like to see the splendor of Heaven?
st_peter_no_key|I am sorry, I can't let you access Heaven without an [c_yellow]Angelic Key[c_reset]. They are very rare, but fallen angels might carry them.|I am sorry, I can't let you access Heaven without an [c_yellow]Angelic Key[c_reset]. They are very rare, but fallen angels might carry them.|I am sorry, I can't let you access Heaven without an [c_yellow]Angelic Key[c_reset]. They are very rare, but fallen angels might carry them.|I am sorry, I can't let you access Heaven without an [c_yellow]Angelic Key[c_reset]. They are very rare, but fallen angels might carry them.|I am sorry, I can't let you access Heaven without an [c_yellow]Angelic Key[c_reset]. They are very rare, but fallen angels might carry them.|I am sorry, I can't let you access Heaven without an [c_yellow]Angelic Key[c_reset]. They are very rare, but fallen angels might carry them.|I am sorry, I can't let you access Heaven without an [c_yellow]Angelic Key[c_reset]. They are very rare, but fallen angels might carry them.|I am sorry, I can't let you access Heaven without an [c_yellow]Angelic Key[c_reset]. They are very rare, but fallen angels might carry them.
||||||||
sarcaster_1001|Could you retrieve my coffee beans, [heroname]? I've lost them somewhere in the Outskirts of Inoya. I really need to make coffee... hrrrr.....|Could you retrieve my coffee beans please? I've lost them somewhere in the Outskirts of Inoya. I really need to make coffee... hrrrr.....|Could you retrieve my coffee beans please? I've lost them somewhere in the Outskirts of Inoya. I really need to make coffee... hrrrr.....|Could you retrieve my coffee beans please? I've lost them somewhere in the Outskirts of Inoya. I really need to make coffee... hrrrr.....|Could you retrieve my coffee beans please? I've lost them somewhere in the Outskirts of Inoya. I really need to make coffee... hrrrr.....|Could you retrieve my coffee beans please? I've lost them somewhere in the Outskirts of Inoya. I really need to make coffee... hrrrr.....|Could you retrieve my coffee beans please? I've lost them somewhere in the Outskirts of Inoya. I really need to make coffee... hrrrr.....|Could you retrieve my coffee beans please? I've lost them somewhere in the Outskirts of Inoya. I really need to make coffee... hrrrr.....
sarcaster_1002|My house collapsed in the storm last week, could you help me collect some bricks from the Fields of Battle? I'd really appreciate it!|My house collapsed in the storm last week, could you help me collect some bricks from the Fields of Battle? I'd really appreciate it!|My house collapsed in the storm last week, could you help me collect some bricks from the Fields of Battle? I'd really appreciate it!|My house collapsed in the storm last week, could you help me collect some bricks from the Fields of Battle? I'd really appreciate it!|My house collapsed in the storm last week, could you help me collect some bricks from the Fields of Battle? I'd really appreciate it!|My house collapsed in the storm last week, could you help me collect some bricks from the Fields of Battle? I'd really appreciate it!|My house collapsed in the storm last week, could you help me collect some bricks from the Fields of Battle? I'd really appreciate it!|My house collapsed in the storm last week, could you help me collect some bricks from the Fields of Battle? I'd really appreciate it!
sarcaster_1003|I've run out of water and I'm starting to loose my mind! Could you bring me some from the Pumpkin Patch? I have something really cool for you in return!!|I've run out of water and I'm starting to loose my mind! Could you bring me some from the Pumpkin Patch? I have something really cool for you in return!!|I've run out of water and I'm starting to loose my mind! Could you bring me some from the Pumpkin Patch? I have something really cool for you in return!!|I've run out of water and I'm starting to loose my mind! Could you bring me some from the Pumpkin Patch? I have something really cool for you in return!!|I've run out of water and I'm starting to loose my mind! Could you bring me some from the Pumpkin Patch? I have something really cool for you in return!!|I've run out of water and I'm starting to loose my mind! Could you bring me some from the Pumpkin Patch? I have something really cool for you in return!!|I've run out of water and I'm starting to loose my mind! Could you bring me some from the Pumpkin Patch? I have something really cool for you in return!!|I've run out of water and I'm starting to loose my mind! Could you bring me some from the Pumpkin Patch? I have something really cool for you in return!!
kujala_1020|I'm here to help our heroes. Come back to me when you've grown stronger and I can help you with some gear.|Olen täällä auttamassa sankareitamme. Tule takaisin kun olet vahvempi niin voin auttaa sinua varustautumaan.|Estou aqui para ajudar nossos heróis. Retorne a mim quanto estiver mais forte e poderei ajudá-lo com algum equipamento.|Мой долг - помогать нашим героям. Возвращайся, когда станешь сильнее, я помогу тебе подобрать экипировку.|我是来帮助我们的英雄的。 当你变得更强壮时再回来找我， 我可以给你一些装备帮助你。|私はヒーロオたちを助けるためにここにいます。 あなたが強くなったら私のところに戻って来な、 いくつかのギアを提供しますよ。|나에게는 영웅들을 도울 임무가 있지. 제가 충분히 강해졌다고 생각이 들면, 내게 찾아오거라. 내가 도움을 주겠으니.|Ich bin hier, um unseren Helden zu helfen. Komm zu mir zurück, wenn du stärker geworden bist und ich kann dir mit etwas Ausrüstung helfen.
kujala_1021|This used to be peaceful forest, but something is corrupting it. Bring me some body parts for research.|Tämä oli ennen rauhallinen metsä, mutta jokin korruptoi sitä. Tuo minulle ruumiinosia että voin tutkia niitä.|Esta costumava ser uma floresta pacífica, mas alguma coisa a está corrompendo. Me traga alguns pedaços de corpos para pesquisa.|Былое величие и покой этих лесов осквернены древним злом. Оно разъедает лес изнутри. Принеси мне осквернённые останки... Посмотрим, что можно сделать.|这曾经是一片宁静的森林，但有些东西正在破坏它。 给我带一些身体部位做研究。|ここ 昔 は 平和な 森林だったが、 何か に 腐敗 さ れて しまいました。 研究 の ため に いくつ か の ボディーパート を 持って きて ください。|한때 이 숲은 평화로웠지만, 무언가가 숲은 타락하게 만들었지. 연구에 필요한 신체 조각을 가져오거라.|Früher war das ein friedlicher Wald, aber irgendetwas verdirbt ihn. Bringen Sie mir ein paar Körperteile für die Forschung.
kujala_1023|Seems like this 'shock therapy' didn't work too well. My research tells me, Gurag is the one causing problems in the forest.|Näyttää että tämä 'shokkiterapia' ei toiminutkaan niin hyvin. Tutkimukseni kertoo, että Gurag on aiheuttanut metsän ongelmat.|"Parece que esta ""terapia de choque"" não funcionou muito bem. Minha pesquisa me diz que Gurag é quem está causando os problemas na floresta."|Так, посмотрим... Похоже за этим стоит Гураг.|似乎这个“休克疗法”效果不太好。 我的研究告诉我， 古拉格是给森林带来问题的那个人。|このような「ショック ・ セラピー」はうまくいきませんでした。 私の研究によると、 グラゴは森林に問題を引き起こすものです。|충격 요법'은 효과가 없는 것 같군. 내 연구에 따르면 숲에 문제를 일으킨 원인은 구라그인 것 같네.|"Scheint so, als hätte diese""Schocktherapie"" nicht so gut funktioniert. Meine Forschung sagt mir, dass Gurag derjenige ist, der Probleme im Wald verursacht."
kujala_1025|I feel like Gurag isn't alone in this madness. Even those greedy goblins are helping their masters.|Minusta tuntuu että Gurag ei ole yksin tässä hulluudessa. Jopa ahneet peikot auttavat mestareitaan.|Sinto que Gurag não está sozinho nesta loucura. Até aqueles goblins gananciosos estão ajudando seus mestres.|Похоже, Гураг не единственный, кто стоит за этим безумием. Слуги зла сеют хаос во славу своего владыки. И подобно этим жадным гоблинам, слепо следуют ему.|我感觉古拉格不是这场疯狂里唯一的人。 即便是那些贪婪的妖精也在帮助它们的主人。|グラゴ が 唯一 の 元凶で は ない ような 気 が します。 あの 貪欲な ゴブリンたち も 彼ら の マスター を 支援 し に 来て います。|구라그 혼자 이런 짓을 저질렀을 리 없지. 탐욕스러운 고블린들이 부하가 되어 그를 돕고 있을 걸세.|Ich fühle mich, als wäre Gurag nicht allein in diesem Wahnsinn. Sogar diese gierigen Kobolde helfen ihren Herren.
kujala_1026|This is more serious than I thought. We have to bring death itself down!|Tämä on vakavampaa kuin luulinkaan. Meidän täytyy tuhota itse kuolema!|Isto é mais sério que pensei. Temos que parar a própria morte!|Все еще хуже, чем я думал. Нам придется... убить саму Смерть...|这比我想象的更严重。 我们必须停止死亡！|これは私が思ったよりかなり深刻です。 私たちは死神を倒さなければなりません！|일이 생각보다 훨씬 심각하군. 우리가 저승사자를 얼른 무찔러야 하네!|Das ist ernster, als ich dachte. Wir müssen den Tod selbst zu Fall bringen!
kujala_1028|Somebody needs to stop this madness. Leave no survivors!|Jonkun täytyy lopettaa tämä hulluus. Älä jätä ketään henkiin!|Alguém tem que parar com esta loucura. Não deixe sobreviventes!|Кто-то должен положить конец этому безумию!  Уничтожь их всех!|需要有人来阻止这场疯狂。 没有留下任何幸存者!|誰かがこの狂気を止める必要があります。 生存者のもとを去らないでください！|누군가는 이 사태를 멈춰야 해. 모두 쓸어버리게!|Jemand muss diesen Wahnsinn stoppen. Lasst keine Überlebenden zurück!
kujala_1029|Anubis has used his powers against us, you know what to do!|Anubis on käyttänyt voimiaan meitä vastaan, tiedät mitä tehdä!|Anubis usou seu poder contra nós, você sabe o que fazer!|Анубис сделал свой ход и нанес по нам удар. Ты знаешь, что делать...|阿努比斯已经在利用他的力量对付我们, 你知道该怎么做！|アヌビスも邪魔しに来ました、 何をすべきかあなたは知っていますよね！|아누비스가 횡포를 저지르고 있다네. 자네가 영웅이라면 지금 뭘 해야 하는지 알 텐데!|Anubis hat seine Kräfte gegen uns eingesetzt, ihr wisst, was ihr zu tun habt!
kujala_1030|You've done well so far, but we must be fast to stop their spawning!|Olet tehnyt hyvin tähän asti, mutta meidän täytyy olla nopeita estääksemme niiden syntyminen!|Você foi bem até aqui, mas precisamos ser rápidos para impedir sua reprodução!|Отлично сработано. Но нам надо поспешить... пока еще не поздно...|你到目前为止做得很好， 但我们必须马上让它们停止产卵！|あなた は これ まで よく やりましたが、 彼ら の 産卵 を 止める に は 我々 も 速く しなければ なりません！|지금까지 잘 해왔군. 그런데 큰일이 또 생겼다네. 최대한 빨리 그들의 산란을 멈추어야 해!|Du hast dich bisher gut geschlagen, aber wir müssen schnell sein, um ihr Spawnen zu stoppen!
kujala_1032|I should have known. Damien is the one pulling strings. Stop him and we have a chance to prevent the apocalypse!|Olisi pitänyt arvata. Damien on kaiken takana. Pysäytä hänet niin meillä on mahdollisuus estää kaiken loppu!|Eu deveria saber. Damien é quem está por trás disso. Impeça-o, e teremos a chance de prevenir o apocalipse.|Как же я был... Я должен был догадаться! Дэмиен! Вот кто дергает за ниточки! Ты должен остановить его и предотвратить Конец Света!|我早该知道的。 达米安是幕后牵线的人。 阻止他，我们就有机会阻止大灾难！|私は知っていたはずでした。 ダミアンこそ弦を引っ張る人です。 彼を止めないと、 黙示録を止める可能性はありません！|데미언이 배후에 있었다는 걸 진작 알았어야 했는데. 그를 멈춰야만 세상의 종말을 막을 수 있다네!|Ich hätte es wissen müssen. Damien ist derjenige, der die Fäden zieht. Haltet ihn auf und wir haben die Chance, die Apokalypse zu verhindern!
gar_nor_1020|Magicians, engineers? BWAH! All you need is a huge weapon and strong arms! Test your might against these training dummies!|Velhoja, insinöörejä? BWAH! Kaikki mitä tarvitset on iso ase ja vahvat lihakset! Testaa taitojasi näihin harjoitusnukkeihin!|Mágicos, engenheiros? BWAH! Tudo que precisa é uma arma enorme o braços fortes! Teste seus poderes contra estes bonecos de treinamento!|Колдуны? Инженеры? ХА! Всё что тебе надо, так это ствол побольше, да ручищи помощнее... А ну-ка долбани-ка по этому манекену!|魔术师，工程师？ 哈！ 你需要的只是一个巨型武器和两条强壮的胳膊！ 对抗这些训练假人来测试你的力量！|マジシャン、 エンジニア？ ばかばかしい！ あなた が 必要 と する の は 巨大な 武器 と 強力な 腕 だけです！ トレーニングダミー と 対抗 して あなた の 力 を テスト しましょう！|마법사들? 기술자들? 헛소린 개나 줘버려! 너에겐 거대한 무기와 튼튼한 갑옷만 있으면 된다고! 저기에 있는 모형으로 네 힘을 시험해 봐!|Zauberer, Ingenieure? BWAH! Alles, was du brauchst, ist eine riesige Waffe und starke Arme! Prüfe deine Kraft gegen diese Trainingspuppen!
